Ámbito,Área,Elemento,Producto,Año,Unidad,Valor
"Ganadería","Paraguay","Existencias","Asnos","2008","Cabeza","35000"
"Ganadería","Paraguay","Existencias","Asnos","2009","Cabeza","35000"
"Ganadería","Paraguay","Existencias","Asnos","2010","Cabeza","35000"
"Ganadería","Paraguay","Existencias","Asnos","2011","Cabeza","35000"
"Ganadería","Paraguay","Existencias","Asnos","2012","Cabeza","35000"
"Ganadería","Paraguay","Existencias","Asnos","2013","Cabeza","35000"
"Ganadería","Paraguay","Existencias","Asnos","2014","Cabeza","35000"
"Ganadería","Paraguay","Existencias","Asnos","2015","Cabeza","35023"
"Ganadería","Paraguay","Existencias","Asnos","2016","Cabeza","35082"
"Ganadería","Paraguay","Existencias","Asnos","2017","Cabeza","34997"
"Ganadería","Paraguay","Existencias","Asnos","2018","Cabeza","34988"
"Ganadería","Paraguay","Existencias","Caballos","2008","Cabeza","283804"
"Ganadería","Paraguay","Existencias","Caballos","2009","Cabeza","283119"
"Ganadería","Paraguay","Existencias","Caballos","2010","Cabeza","281621"
"Ganadería","Paraguay","Existencias","Caballos","2011","Cabeza","280245"
"Ganadería","Paraguay","Existencias","Caballos","2012","Cabeza","278848"
"Ganadería","Paraguay","Existencias","Caballos","2013","Cabeza","277848"
"Ganadería","Paraguay","Existencias","Caballos","2014","Cabeza","276825"
"Ganadería","Paraguay","Existencias","Caballos","2015","Cabeza","275922"
"Ganadería","Paraguay","Existencias","Caballos","2016","Cabeza","275371"
"Ganadería","Paraguay","Existencias","Caballos","2017","Cabeza","275000"
"Ganadería","Paraguay","Existencias","Caballos","2018","Cabeza","271380"
"Ganadería","Paraguay","Existencias","Caprinos","2008","Cabeza","129898"
"Ganadería","Paraguay","Existencias","Caprinos","2009","Cabeza","131656"
"Ganadería","Paraguay","Existencias","Caprinos","2010","Cabeza","133237"
"Ganadería","Paraguay","Existencias","Caprinos","2011","Cabeza","135187"
"Ganadería","Paraguay","Existencias","Caprinos","2012","Cabeza","137537"
"Ganadería","Paraguay","Existencias","Caprinos","2013","Cabeza","140341"
"Ganadería","Paraguay","Existencias","Caprinos","2014","Cabeza","143657"
"Ganadería","Paraguay","Existencias","Caprinos","2015","Cabeza","147361"
"Ganadería","Paraguay","Existencias","Caprinos","2016","Cabeza","151343"
"Ganadería","Paraguay","Existencias","Caprinos","2017","Cabeza","155010"
"Ganadería","Paraguay","Existencias","Caprinos","2018","Cabeza","146386"
"Ganadería","Paraguay","Existencias","Cerdos","2008","Cabeza","1072655"
"Ganadería","Paraguay","Existencias","Cerdos","2009","Cabeza","1095174"
"Ganadería","Paraguay","Existencias","Cerdos","2010","Cabeza","1117664"
"Ganadería","Paraguay","Existencias","Cerdos","2011","Cabeza","1142044"
"Ganadería","Paraguay","Existencias","Cerdos","2012","Cabeza","1168606"
"Ganadería","Paraguay","Existencias","Cerdos","2013","Cabeza","1197698"
"Ganadería","Paraguay","Existencias","Cerdos","2014","Cabeza","1229760"
"Ganadería","Paraguay","Existencias","Cerdos","2015","Cabeza","1265328"
"Ganadería","Paraguay","Existencias","Cerdos","2016","Cabeza","1300064"
"Ganadería","Paraguay","Existencias","Cerdos","2017","Cabeza","1313148"
"Ganadería","Paraguay","Existencias","Cerdos","2018","Cabeza","1268387"
"Ganadería","Paraguay","Existencias","Gallinas","2008","1000 cabezas","16056"
"Ganadería","Paraguay","Existencias","Gallinas","2009","1000 cabezas","16213"
"Ganadería","Paraguay","Existencias","Gallinas","2010","1000 cabezas","16376"
"Ganadería","Paraguay","Existencias","Gallinas","2011","1000 cabezas","16546"
"Ganadería","Paraguay","Existencias","Gallinas","2012","1000 cabezas","16722"
"Ganadería","Paraguay","Existencias","Gallinas","2013","1000 cabezas","16906"
"Ganadería","Paraguay","Existencias","Gallinas","2014","1000 cabezas","17096"
"Ganadería","Paraguay","Existencias","Gallinas","2015","1000 cabezas","17294"
"Ganadería","Paraguay","Existencias","Gallinas","2016","1000 cabezas","17466"
"Ganadería","Paraguay","Existencias","Gallinas","2017","1000 cabezas","17814"
"Ganadería","Paraguay","Existencias","Gallinas","2018","1000 cabezas","18219"
"Ganadería","Paraguay","Existencias","Ganado vacuno","2008","Cabeza","10496641"
"Ganadería","Paraguay","Existencias","Ganado vacuno","2009","Cabeza","11643386"
"Ganadería","Paraguay","Existencias","Ganado vacuno","2010","Cabeza","12305442"
